x,y
-1,0.0384615
-0.98,0.0288206
-0.96,0.0193106
-0.94,0.0100626
-0.92,0.00120743
-0.9,-0.00712391
-0.88,-0.0148005
-0.86,-0.0216912
-0.84,-0.0276653
-0.82,-0.0325917
-0.8,-0.0363395
-0.78,-0.0387777
-0.76,-0.0397754
-0.74,-0.0392015
-0.72,-0.0369252
-0.7,-0.0328155
-0.68,-0.0267413
-0.66,-0.0185719
-0.64,-0.00817613
-0.62,0.00457689
-0.6,0.0198181
-0.58,0.0376785
-0.56,0.058289
-0.54,0.0817807
-0.52,0.108284
-0.5,0.137931
-0.48,0.17077
-0.46,0.20652
-0.44,0.244821
-0.42,0.285309
-0.4,0.327624
-0.38,0.371403
-0.36,0.416284
-0.34,0.461906
-0.32,0.507906
-0.3,0.553922
-0.28,0.599593
-0.26,0.644556
-0.24,0.688449
-0.22,0.730911
-0.2,0.77158
-0.18,0.810094
-0.16,0.84609
-0.14,0.879206
-0.12,0.909082
-0.1,0.935354
-0.08,0.957662
-0.06,0.975642
-0.04,0.988933
-0.02,0.997173
0,1
0.02,0.997173
0.04,0.988933
0.06,0.975642
0.08,0.957662
0.1,0.935354
0.12,0.909082
0.14,0.879206
0.16,0.84609
0.18,0.810094
0.2,0.77158
0.22,0.730911
0.24,0.688449
0.26,0.644556
0.28,0.599593
0.3,0.553922
0.32,0.507906
0.34,0.461906
0.36,0.416284
0.38,0.371403
0.4,0.327624
0.42,0.285309
0.44,0.244821
0.46,0.20652
0.48,0.17077
0.5,0.137931
0.52,0.108284
0.54,0.0817807
0.56,0.058289
0.58,0.0376785
0.6,0.0198181
0.62,0.00457689
0.64,-0.00817613
0.66,-0.0185719
0.68,-0.0267413
0.7,-0.0328155
0.72,-0.0369252
0.74,-0.0392015
0.76,-0.0397754
0.78,-0.0387777
0.8,-0.0363395
0.82,-0.0325917
0.84,-0.0276653
0.86,-0.0216912
0.88,-0.0148005
0.9,-0.00712391
0.92,0.00120743
0.94,0.0100626
0.96,0.0193106
0.98,0.0288206
1,0.0384615
